edad,ingreso_declarado,antiguedad_laboral_meses,antiguedad_cliente_meses,score_buro,deuda_sistema,num_creditos_vigentes,peor_morosidad_12m,num_consultas_buro_3m,num_contactos_ult_trimestre,uso_linea_credito_pct,monto_solicitado,plazo_meses,tasa_interes_anual,ingreso_declarado_nulo,ratio_deuda_ingreso,tipo_empleo_independiente,tipo_empleo_informal,tipo_empleo_jubilado,region_Araucania,region_Arica,region_Atacama,region_Aysen,region_Biobio,region_Coquimbo,region_Los Lagos,region_Los Rios,region_Magallanes,region_Maule,region_Metropolitana,region_Nuble,region_OHiggins,region_Tarapaca,region_Valparaiso,canal_partner,canal_sucursal,dia_semana_solicitud_jue,dia_semana_solicitud_lun,dia_semana_solicitud_mar,dia_semana_solicitud_mie,dia_semana_solicitud_sab,dia_semana_solicitud_vie
36,1307000.0,102.0,70,559,460000.0,3,0,2,0,11.1,5050000.0,48,22.8,0,0.3519510328997705,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
63,782000.0,146.0,76,620,1679000.0,1,0,1,1,68.0,590000.0,12,20.7,0,2.1470588235294117,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
42,-1.0,15.0,58,675,4267000.0,2,30,1,0,59.2,1440000.0,24,19.2,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
46,-1.0,50.0,0,728,1195000.0,1,0,0,1,49.3,450000.0,12,21.3,1,-1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,-1.0,41.0,86,594,3065000.0,3,15,0,2,97.5,1170000.0,48,24.9,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
62,431000.0,-1.0,23,600,1030000.0,0,30,2,1,74.0,3410000.0,12,22.2,0,2.3897911832946637,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
42,1061000.0,112.0,57,522,2461000.0,1,0,1,0,34.6,910000.0,36,20.2,0,2.3195098963242224,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
78,578000.0,-1.0,10,847,608000.0,0,0,0,0,0.0,1610000.0,18,20.1,0,1.0519031141868511,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
34,-1.0,32.0,19,498,1648000.0,1,15,3,1,74.3,1610000.0,12,24.4,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
35,-1.0,18.0,2,714,535000.0,1,0,0,0,42.6,2660000.0,12,21.0,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,-1.0,91.0,65,563,1548000.0,1,0,0,1,46.0,1390000.0,36,22.0,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
39,1363000.0,53.0,88,603,2661000.0,7,0,3,4,53.5,5860000.0,12,23.7,0,1.9523110785033015,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
45,-1.0,-1.0,48,729,894000.0,1,15,0,3,17.2,1140000.0,36,20.4,1,-1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
32,452000.0,83.0,57,565,2536000.0,4,0,0,0,44.9,290000.0,36,22.6,0,5.610619469026549,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
33,1094000.0,153.0,55,583,4558000.0,0,0,1,0,28.1,1070000.0,24,23.6,0,4.16636197440585,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,860000.0,74.0,12,732,1950000.0,1,0,0,0,18.8,2680000.0,24,21.0,0,2.2674418604651163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
35,1217000.0,-1.0,4,660,3085000.0,3,0,2,0,53.9,1370000.0,12,26.9,0,2.5349219391947413,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
33,440000.0,-1.0,39,771,547000.0,0,0,0,0,13.4,10110000.0,24,21.0,0,1.2431818181818182,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35,934000.0,64.0,82,668,3365000.0,2,30,1,4,68.3,940000.0,24,26.0,0,3.602783725910064,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
